date,Copper_shock_20d,Aluminum_shock_20d,Oil_shock_20d,Gold_shock_20d,USD_shock_20d,VIX_shock_20d,CMSI,target_20d,asset
2018-08-09,1.0565612126401986,0.03426296838002038,-0.7410857663886214,0.20036683658723767,0.277611840526117,-0.49663702324640013,0.05518001141642535,0.00887511808385577,SPY
2018-08-10,0.8679317857431512,0.03385263162057472,-0.6969703260277409,0.5068194370069674,1.6690346492328556,0.6447415301497065,0.5042349512875858,0.01744604292525831,SPY
2018-08-13,0.8652814661824891,0.033456681445996374,-0.24527666743665133,-0.7844911706841659,1.9710879313069027,1.066871968673111,0.484488368247947,0.024636738689261195,SPY
2018-08-14,0.6526937778755034,0.03307429704170171,-0.2761001384605868,0.19901263011088755,1.6943125581032714,0.7499545788827195,0.5088246172589161,0.01838697872276529,SPY
2018-08-15,-0.2480935202044435,0.03270472164188084,-0.7769564054889463,-0.9557789897300746,1.4334153747856786,1.37350116524523,0.14313205770822082,0.0321174190302147,SPY
2018-08-16,0.5869969434083893,0.032347256249063025,-0.8021767973602391,-0.7625956546455785,1.1954018378301243,0.34101047766045994,0.0984973438570365,0.02400924961382289,SPY
2018-08-17,0.24966373761352678,0.03200125408971614,-0.8773549307355811,-1.2078389885804517,1.395400529799593,-0.05016232436864596,-0.07638178703030714,0.015014560118000508,SPY
2018-08-20,0.5819794471422933,0.031666115706141404,-0.30232361906163374,-0.06700826405093765,0.7913277346932129,-0.006739855046081327,0.17148359323049914,0.018343038706902792,SPY
2018-08-21,0.3293686259481446,0.03134128460019838,-0.240308466121978,0.36545383206918125,-0.0383978317409045,0.28984894509496656,0.12288439830826803,0.01704259682671494,SPY
2018-08-22,0.13793909121850959,0.031026243357059148,-0.28728738430496115,0.0963578691265412,0.16571318069188887,0.03263920496507998,0.02939803417568627,0.025893546111841248,SPY
2018-08-23,0.03638014939217786,0.03072051018775055,-0.3488760848424363,-0.15664174447616938,0.27490280393199945,0.19808334597774568,0.005761496695177976,0.026319176799127986,SPY
2018-08-24,0.48359879693165525,0.03042363583808105,0.009789912160380634,1.4693934662882,-0.31138475459646864,-0.4731716366219302,0.2014415699999864,0.01679029027532808,SPY
2018-08-27,0.5809904503463771,-3.853081308849195,-0.24416773209139758,1.7018960111359807,-0.3795826862998958,-0.9079304114343807,-0.5169792795320852,0.007889640889647831,SPY
2018-08-28,0.5023241447339178,-3.366647017506341,-0.03816146485524704,1.369161546829852,-0.6575192712469506,-0.0934942088155995,-0.3807227118100614,0.004387602721784178,SPY
