date,Copper_shock_20d,Aluminum_shock_20d,Oil_shock_20d,Gold_shock_20d,USD_shock_20d,VIX_shock_20d,CMSI,target_20d,asset
2018-08-09,1.0565612126401986,0.03426296838002038,-0.7410857663886214,0.20036683658723767,0.277611840526117,-0.49663702324640013,0.05518001141642535,0.008874817115487765,SPY
2018-08-10,0.8679317857431512,0.03385263162057472,-0.6969703260277409,0.5068194370069674,1.6690346492328556,0.6447415301497065,0.5042349512875858,0.017446047161677747,SPY
2018-08-13,0.8652814661824891,0.033456681445996374,-0.24527666743665133,-0.7844911706841659,1.9710879313069027,1.066871968673111,0.484488368247947,0.02463679512106043,SPY
2018-08-14,0.6526937778755034,0.03307429704170171,-0.2761001384605868,0.19901263011088755,1.6943125581032714,0.7499545788827195,0.5088246172589161,0.01838649210250698,SPY
2018-08-15,-0.2480935202044435,0.03270472164188084,-0.7769564054889463,-0.9557789897300746,1.4334153747856786,1.37350116524523,0.14313205770822082,0.03211717109258161,SPY
2018-08-16,0.5869969434083893,0.032347256249063025,-0.8021767973602391,-0.7625956546455785,1.1954018378301243,0.34101047766045994,0.0984973438570365,0.024009432612092096,SPY
2018-08-17,0.24966373761352678,0.03200125408971614,-0.8773549307355811,-1.2078389885804517,1.395400529799593,-0.05016232436864596,-0.07638178703030714,0.015014560118000508,SPY
2018-08-20,0.5819794471422933,0.031666115706141404,-0.30232361906163374,-0.06700826405093765,0.7913277346932129,-0.006739855046081327,0.17148359323049914,0.0183428548734359,SPY
2018-08-21,0.3293686259481446,0.03134128460019838,-0.240308466121978,0.36545383206918125,-0.0383978317409045,0.28984894509496656,0.12288439830826803,0.017042720985717352,SPY
2018-08-22,0.13793909121850959,0.031026243357059148,-0.28728738430496115,0.0963578691265412,0.16571318069188887,0.03263920496507998,0.02939803417568627,0.02589342908479475,SPY
2018-08-23,0.03638014939217786,0.03072051018775055,-0.3488760848424363,-0.15664174447616938,0.27490280393199945,0.19808334597774568,0.005761496695177976,0.026319550356453725,SPY
2018-08-24,0.48359879693165525,0.03042363583808105,0.009789912160380634,1.4693934662882,-0.31138475459646864,-0.4731716366219302,0.2014415699999864,0.016790413868742693,SPY
2018-08-27,0.5809904503463771,-3.853081308849195,-0.24416773209139758,1.7018960111359807,-0.3795826862998958,-0.9079304114343807,-0.5169792795320852,0.00788963995361125,SPY
2018-08-28,0.5023241447339178,-3.366647017506341,-0.03816146485524704,1.369161546829852,-0.6575192712469506,-0.0934942088155995,-0.3807227118100614,0.00438819824291814,SPY
2018-08-29,0.9153257727445243,-3.027742501591448,0.3934394191976031,1.5270363017963835,-1.0162635138296008,-0.3782208213522759,-0.26440422383913564,0.0018045052831818786,SPY
2018-08-30,0.8218664758011964,0.9347460346646922,0.2672048938120613,1.510160592538925,-1.6065783182659499,0.8240988717471525,0.45858309171634626,0.0059806494606342575,SPY
2018-08-31,0.3062330827922789,0.9192403298656443,0.2706865909480887,1.4021021513594873,-0.9253071748813928,0.778014021919064,0.458494833667195,0.009440453272497873,SPY
2018-09-04,0.04114995411415776,0.9044857891750742,0.17206793576879503,1.2264049147013694,-0.8242638105100395,1.1837298306729633,0.45059576898705345,0.010592733005308608,SPY
2018-09-05,-0.03591652591979284,0.8904235109225936,-0.10568800174277862,1.2823275354440993,-1.0280197927782204,1.828352610790832,0.4719132227861222,0.013876242289274865,SPY
2018-09-06,0.16952302943202785,0.8770008697453152,0.17299731059758633,1.256392426007065,-0.9960784614158436,2.22595489432239,0.6176316781147568,0.008988914721755004,SPY
2018-09-07,-0.05992610795244445,0.864170681783346,0.19627521916055848,0.9863668533248933,-1.0505733396024142,1.9505969587409633,0.4811517109091504,0.005295585147544912,SPY
2018-09-10,0.16774024815151678,0.8518905017089152,-0.03551974846842406,0.9833324516932689,-2.470118438076394,0.4104666997582418,-0.015368047538812601,0.0035505749136581777,SPY
2018-09-11,0.19461189901255568,0.8401220276705451,0.4440010289189933,2.4033917557575974,-2.4787515807738556,-0.7298115601900454,0.11226059506596509,-0.0012073680494565364,SPY
2018-09-12,0.9975340747494506,0.8288305951048226,0.7282342361673342,2.7185719193359503,-2.996743796413116,-0.1391539297324593,0.3562121832019971,-0.03306628465780326,SPY
2018-09-13,1.9865518555798436,0.8179847441448961,0.8006698077997683,3.2282399116064706,-3.009819040957253,-1.0335651886583734,0.4650103482525587,-0.05992492538996641,SPY
2018-09-14,1.1723021772250433,0.8075558483046673,0.7734300306099489,2.6942982285445014,-2.3207225065927597,-0.6900462672017971,0.406136251814934,-0.047032694644721595,SPY
2018-09-17,1.1114610839433616,0.7975177944379136,0.6366887267515992,2.7458248740694984,-2.1436784368180075,0.49341742610555384,0.6068719114149865,-0.04734203202527387,SPY
2018-09-18,1.3969890953927744,0.787846705808777,0.720988611700461,1.9523787650828823,-1.7533465712467162,0.11601376214341064,0.5368117281469316,-0.031764863687852696,SPY
2018-09-19,1.1510292129604287,0.7785207015739103,0.7815789440721894,1.8638722178522267,-1.1285197468752581,-0.5964972090403607,0.474997353423856,-0.032623132952670386,SPY
2018-09-20,1.3773072016180092,0.7695196871498806,0.5783434966179322,1.8176603933072104,-1.6533361629817056,-0.2700658136472402,0.43657146701068106,-0.05425700434801295,SPY
2018-09-21,2.312894153161145,0.7608251708851775,0.5754468838195322,1.7339456353644167,-1.7616298942183108,-0.4121553769746667,0.5348877620062157,-0.05390613965531288,SPY
2018-09-24,1.7304033073660077,0.7524201032225949,0.6540240634129721,0.92181931615479,-1.213646369696179,0.0930185649456289,0.48967316423430224,-0.05501341736168264,SPY
2018-09-25,1.552533712579771,0.7442887351620044,0.6572362699489585,0.815292041303881,-0.953290951926159,0.11800558691144471,0.4890108989966501,-0.05895100511755069,SPY
2018-09-26,1.332970938888294,0.736416493344482,0.5700908122458223,0.5933840589655549,-0.8185223407726142,0.18270318837388239,0.4328405251742369,-0.08472421769875293,SPY
2018-09-27,1.1900140462899869,3.6774143147970384,0.45752697662816366,0.1561526105431872,0.15726959220848152,0.05961588679588986,0.949665571210458,-0.07090049676677157,SPY
2018-09-28,1.4617870925754963,-0.10819044046814431,0.5357215818800848,0.9378906318865454,0.22911240824510606,-0.7315421455938489,0.3874631880875398,-0.08733513695318529,SPY
2018-10-01,1.6417001325176825,-0.10747747095505354,1.1018028502573742,0.5838814385905716,-0.10073125236442441,-0.4727126397741923,0.4410771763786597,-0.09553375100555395,SPY
2018-10-02,2.2208666182471264,-0.1067784130847001,1.0534933528615877,1.691023856710306,-0.1744757479950465,-0.5875798532538848,0.6827583022475646,-0.08159583234533874,SPY
2018-10-03,2.2554367409954224,-0.10609282026358828,1.5830444981024816,1.3515380769317447,0.4022862807311852,-1.1294684023322843,0.7261240623608268,-0.0722954905523665,SPY
2018-10-04,1.6171645794590732,-0.10542026571458345,1.318745196811081,1.1321188791331178,0.5070423585957335,-0.19224694055854474,0.7129006346209796,-0.05503749024920068,SPY
2018-10-05,1.5932905292884998,-0.10476034136056762,1.3035752238336236,1.5100058916622627,-0.014857264838682976,-0.016816289769279433,0.7117396248026427,-0.055347157746135855,SPY
2018-10-08,1.5368738499922074,-0.10411265678400201,1.3226263937481002,0.7094230953318424,0.3866313441894517,0.7568774015716462,0.7680532380082076,-0.05013529672529127,SPY
2018-10-09,1.8072441510390533,-0.10347683825637889,1.0346411704081984,0.7231131707376314,0.3845881407845664,1.4181792469151313,0.8773815069380336,-0.042728022851854175,SPY
2018-10-10,1.2317202363219004,-0.10285252783207781,0.36234751706339996,0.3720537860578928,0.48245622899296214,4.471492966112107,1.1362030344526974,0.009737742874027733,SPY
2018-10-11,1.3507516627774916,-0.1022393825016393,0.2802034974043647,2.1131744292056402,0.2267939255277871,5.062015985197082,1.4884500196017878,0.030606066550525446,SPY
2018-10-12,1.548800224029601,-0.10163707339989936,0.2684161040044699,2.123745904225712,-0.04329868881412381,3.4712538583439527,1.2112133880649523,0.006559288469163649,SPY
2018-10-15,1.400600182829856,-0.10104528506484033,0.38689261453932366,2.2090409707239487,0.3170814982034558,2.386696217510868,1.0998776997904354,-0.006668372508130127,SPY
2018-10-16,0.8070246223494398,-0.10046371474335958,0.1930418266910079,2.2989146239265534,0.16806005804804827,1.532281449988461,0.8164764777100251,-0.029743025086959807,SPY
2018-10-17,0.7904297384971698,-0.09989207174048449,-0.5911738915409077,1.8416791185005157,0.844301692009593,1.9476925542972796,0.7888395233371943,-0.0365480534294389,SPY
